ice,rain,wind,dry,snow,cold,danger
0,0.00,12.97,0,0,84.90,0
0,0.00,19.91,1,0,63.00,1
0,0.07,12.97,0,0,66.90,0
0,0.00,8.05,0,0,73.00,0
0,0.00,14.09,1,0,72.00,1
0,0.00,14.99,1,0,71.10,1
0,0.00,14.99,1,0,59.00,1
0,0.01,19.91,0,0,61.00,0
0,0.08,18.12,0,0,71.10,0
0,0.06,18.12,0,0,75.00,0
0,0.00,14.09,0,0,55.90,0
0,0.00,12.97,1,0,45.00,1
0,0.00,21.92,1,0,62.10,1
0,0.00,21.03,1,0,73.90,1
0,0.33,12.97,0,0,48.90,0
0,0.28,59.95,0,0,69.10,1
0,0.00,21.03,0,0,62.10,1
0,0.00,17.00,1,0,59.00,1
0,0.00,17.00,1,0,46.90,1
0,0.00,17.00,1,0,54.00,1
0,0.00,18.12,1,0,64.90,1
0,0.00,8.95,1,0,50.00,1
0,0.00,14.09,1,0,35.10,1
0,0.00,16.11,1,1.18,55.90,1
0,0.00,16.11,1,0,53.10,1
0,0.50,21.92,0,0,72.00,1
0,0.00,23.94,0,0,72.00,1
0,0.36,25.05,0,0,61.00,1
0,0.29,18.12,0,0,55.90,0
0,0.46,19.91,0,0,36.00,0
0,0.00,18.12,0,0,75.90,0
0,0.00,12.97,1,0,72.00,1
0,0.00,16.11,1,0,81.00,1
0,1.32,25.05,0,0,71.10,1
0,0.47,23.94,0,0,80.10,1
0,0.00,16.11,0,0,84.00,0
0,0.00,14.09,1,0,69.10,1
0,0.00,17.00,1,0,75.90,1
0,0.00,12.08,1,0,78.10,1
0,0.00,12.08,1,0,73.00,1
0,0.00,16.11,1,0,87.10,1
0,0.00,12.97,1,0,82.00,1
0,0.22,25.05,0,0,90.00,1
0,0.00,8.95,0,0,84.90,0
0,0.29,14.09,0,0,90.00,0
0,0.58,31.99,0,0,93.90,1
0,0.00,10.07,0,0,84.90,0
0,0.00,12.97,1,0,86.00,1
0,0.00,12.08,1,0,93.00,1
0,0.00,8.95,1,0,84.90,1
0,0.00,12.08,1,0,90.00,1
